date,avg_weight
2022-12-21,91.479
2022-12-22,92.19
2022-12-23,92.149
2022-12-24,92.396
2022-12-25,92.144
2022-12-27,91.564
2022-12-28,91.776
2022-12-29,90.954
2022-12-30,91.243
2022-12-31,90.884
2023-01-01,91.605
2023-01-03,91.291
2023-01-04,91.209
2023-01-06,92.1685
2023-01-07,92.094
2023-01-09,92.281
2023-01-10,91.953
2023-01-11,91.507
2023-01-13,92.304
2023-01-14,92.187
2023-01-16,92.02
2023-01-17,91.936
2023-01-18,92.136
2023-01-19,91.373
2023-01-20,91.918
2023-01-23,91.3665
2023-01-24,91.5085
2023-01-25,91.17
2023-01-26,90.518
2023-01-27,90.666
2023-01-28,89.73933333333333
2023-01-29,89.3505
2023-01-31,90.583
2023-02-01,90.828
2023-02-02,90.748
2023-02-03,90.83
2023-02-04,90.603
2023-02-11,92.786
2023-02-12,91.8605
2023-02-13,91.228
2023-02-14,91.405
2023-02-15,91.996
2023-02-17,92.167
2023-02-24,92.298
2023-03-05,92.679
2023-03-06,92.57
2023-03-07,92.773
2023-03-13,91.764
2023-03-19,93.016
2023-03-26,92.809
2023-03-31,92.473
2023-04-02,92.881
2023-04-03,91.959
2023-04-06,92.364
2023-04-08,92.067
2023-05-17,93.262
2023-05-18,92.982
2023-05-20,92.65
2023-05-22,92.918
2023-05-23,93.222
2023-05-24,93.252
2023-05-26,92.749
2023-05-27,92.853
2023-05-28,92.857
2023-05-29,93.514
2023-05-30,93.587
2023-06-02,93.144
2023-06-04,92.972
2023-06-05,92.54
2023-06-06,93.119
2023-06-08,92.607
2023-06-09,92.665
2023-06-10,92.232
2023-06-11,92.48
2023-06-12,92.203
2023-06-13,92.146
2023-06-14,92.523
2023-06-15,92.355
2023-06-16,92.977
2023-06-19,93.264
2023-06-20,92.69
2023-06-21,93.37
2023-06-22,93.711
2023-06-30,92.486
2023-07-01,92.083
2023-07-02,92.9975
2023-07-03,93.034
2023-07-04,93.202
2023-07-08,92.485
2023-07-12,92.902
2023-07-20,92.378
2023-08-05,93.216
2023-08-11,92.513
2023-08-17,93.444
2023-08-18,94.019
2023-08-26,93.295
2023-09-03,92.969
2023-09-05,92.551
2023-09-09,92.422
2023-09-12,92.956
2023-09-13,91.89750000000001
2023-09-14,92.102
2023-09-16,93.085
2023-10-14,93.778
2023-10-16,93.428
